zone_id,"Food, beverages","General store, department store, mall","Clothing, shoes, accessories","Discount store, charity Health and beauty","Do-it-yourself, household, building materials, gardening",Furniture and interior,Electronics,"Outdoors and sport, vehicles","Art, music, hobbies","Stationery, gifts, books, newspapers",Others
4,24,164,0,0,36,0,15,4,0,0,97
13,44,123,10,0,11,0,2,55,0,1,251
24,49,111,0,0,31,10,44,9,0,21,134
41,200,410,240,0,112,60,215,69,100,14,516
42,47,548,0,0,86,0,81,117,0,5,277
45,82,187,0,0,48,0,223,25,0,6,316
48,500,565,0,0,86,20,132,134,30,11,963
50,98,141,0,0,24,0,8,301,10,1,743
68,163,385,0,0,78,0,98,106,0,24,413
74,138,668,30,0,97,20,274,95,0,3,482
75,67,464,10,0,76,0,131,62,0,1,486
79,499,605,0,0,110,20,94,71,50,0,748
87,303,387,60,0,61,10,123,51,0,53,462
88,74,157,0,0,36,0,53,99,60,10,110
90,287,246,40,0,99,0,156,74,20,78,895
100,452,578,80,0,78,0,169,19,10,50,1253
107,268,289,0,0,35,80,109,96,0,17,566
113,349,285,60,0,42,20,132,100,60,22,756
114,207,154,10,0,29,40,29,20,0,5,261
116,95,382,0,0,72,0,134,30,0,6,219
125,28,80,0,0,22,0,3,29,30,2,167
127,97,367,0,0,63,20,204,104,0,1,256
137,118,105,0,0,54,10,29,67,20,0,262
140,92,131,20,0,49,0,38,138,0,6,331
141,338,291,80,0,77,20,83,175,0,13,935
142,169,134,0,0,46,0,77,115,20,16,441
143,99,74,0,0,44,0,10,126,0,8,109
144,422,273,10,0,76,0,143,36,0,12,921
148,151,351,0,0,304,0,261,14,20,5,430
151,125,205,0,0,61,0,40,18,10,0,359
152,27,167,0,0,43,0,37,27,20,2,162
153,0,42,0,0,7,10,32,6,0,0,19
158,78,53,0,0,30,0,56,45,0,41,281
161,554,1215,320,0,49,0,217,72,30,18,938
162,157,306,30,0,70,20,115,58,40,20,342
163,220,230,140,0,16,20,192,121,50,27,471
164,352,343,30,0,156,20,267,47,60,70,867
166,187,116,0,0,28,0,15,23,40,7,144
170,337,288,20,0,110,70,101,110,20,13,705
186,280,435,240,0,90,0,195,55,60,16,415
202,0,12,0,0,9,0,0,6,0,0,16
209,117,55,50,0,29,0,20,28,50,1,194
211,135,107,40,0,29,0,37,21,30,0,763
224,29,17,0,0,10,0,29,26,0,0,59
229,205,297,0,0,52,10,29,134,0,0,485
230,468,320,280,0,31,0,232,107,10,123,1694
231,287,346,20,0,164,20,125,102,20,34,613
232,33,238,0,0,61,0,92,20,20,1,237
233,61,120,0,0,38,0,29,86,10,5,280
234,410,523,70,0,155,20,286,75,120,25,1056
236,175,237,0,0,73,40,78,85,0,32,664
237,139,182,0,0,29,0,67,75,20,5,749
238,164,217,0,0,108,10,139,81,20,16,509
239,346,196,150,0,84,10,107,51,50,50,556
243,70,478,0,0,71,10,364,101,20,3,335
244,267,718,10,0,99,0,295,81,0,10,530
246,109,104,0,0,34,0,7,151,0,2,177
249,443,326,0,0,62,0,65,39,10,7,507
261,18,104,0,0,19,0,17,22,30,8,122
262,13,116,0,0,35,0,23,98,0,3,313
263,302,290,0,0,108,20,119,93,20,7,557
